loss,val_loss
719941888.0,659691776.0
384609440.0,337455968.0
265111856.0,359921920.0
177421152.0,194274176.0
148937024.0,248288352.0
187032048.0,146289952.0
109962720.0,144341968.0
116647624.0,163503456.0
94209248.0,171026368.0
102859152.0,206337312.0
113688872.0,158710720.0
102769328.0,106691976.0
108640808.0,125057856.0
87136768.0,185937792.0
78206392.0,158370048.0
72985472.0,111367368.0
70357624.0,159487968.0
68281640.0,119203016.0
61966380.0,125686032.0
59165684.0,119359808.0
58965472.0,152573200.0
63015792.0,128756880.0
74187264.0,189990432.0
68860696.0,118771888.0
79968728.0,128937552.0
87156384.0,368932096.0
78885720.0,170905872.0
76057112.0,137014416.0
71630432.0,119992584.0
69889024.0,136927616.0
67001884.0,110529480.0
69021616.0,124393176.0
72871824.0,134531568.0
75248080.0,125626424.0
68132664.0,122420432.0
69069368.0,149467792.0
69557416.0,120853632.0
64574824.0,132152528.0
70459480.0,113527616.0
78343424.0,126197536.0
69527272.0,127823344.0
73818048.0,111475896.0
62780396.0,100053248.0
62354776.0,100796688.0
62227724.0,181786384.0
60553044.0,119157760.0
64699964.0,111015992.0
74031560.0,151220496.0
87103528.0,155434832.0
67448640.0,124684880.0
67480696.0,124817616.0
59831928.0,104656000.0
58514680.0,113237200.0
60777768.0,112584640.0
71410272.0,235860800.0
85025256.0,122334704.0
60100932.0,123371504.0
48760944.0,104914536.0
49648648.0,107666584.0
47136412.0,95490080.0
49711960.0,102629368.0
47216476.0,102648984.0
45850888.0,108554416.0
45983016.0,91838912.0
48880572.0,103942296.0
53455180.0,106935728.0
51890256.0,95430224.0
52508584.0,129974920.0
52912836.0,96540200.0
47172332.0,125295640.0
46803272.0,116441784.0
45100432.0,95623768.0
44029252.0,92777016.0
44240860.0,96507616.0
44106904.0,100405592.0
43731928.0,97368240.0
44265572.0,99082088.0
44065388.0,98462216.0
44152888.0,99325384.0
45708448.0,112202568.0
45215012.0,97235696.0
44340192.0,92741504.0
44880852.0,98022296.0
45571096.0,118128280.0
45372112.0,99065288.0
44732616.0,93097776.0
44907016.0,107739520.0
44341612.0,102859784.0
43954392.0,93481528.0
43982596.0,107092632.0
43686108.0,92856000.0
43278056.0,96063944.0
44588184.0,99528080.0
44446104.0,95556496.0
44524936.0,104801128.0
44813904.0,107611648.0
45144988.0,111507208.0
45161888.0,102585064.0
45098168.0,99720768.0
46922588.0,109655296.0
46278892.0,104880752.0
46217652.0,102096656.0
45955868.0,104358736.0
44614276.0,103520872.0
44987784.0,105897904.0
45632548.0,82378832.0
47632364.0,97971192.0
47172464.0,93344496.0
46471564.0,105371440.0
46906956.0,103960656.0
47229668.0,93430208.0
45884524.0,109288088.0
46036524.0,102212888.0
45894320.0,112102744.0
45415608.0,103359376.0
45046036.0,98750136.0
45233168.0,93096232.0
44599316.0,86175880.0
44753000.0,86645584.0
44653748.0,83774088.0
44931520.0,84300752.0
44786416.0,83554072.0
44076936.0,79739800.0
43966844.0,85936328.0
43853252.0,82376584.0
44330008.0,82117328.0
44002400.0,91918736.0
